PLOT_NAME	SUBPLOT	QUADRAT	SPPCODE	SIZE_CLASS	COUNT1999	COUNT2000	COUNT2001	COUNT2002	COUNT2003	COUNT2004	COUNT2005	COUNT2006	COUNT2007	COUNT2008	COUNT2009	DATA_YEAR
BBBPIPO	6	2	QUKE	1	0	0	1	1	0	0	3	1	0	2	0	2001
BBBPIPO	6	2	QUKE	2	1	0	0	0	0	2	8	1	0	1	0	1999
BBBPIPO	6	2	QUKE	10	10	10	10	6	9	29	3	13	10	3	12	1999
BBBPIPO	6	2	QUKE	25	0	0	0	0	0	1	1	8	5	5	NA	2004
BBBPIPO	6	3	ABCO	1	0	0	0	23	0	0	0	1	1	0	5	2002
BBBPIPO	6	3	ABCO	2	8	0	0	0	0	0	0	2	1	1	0	1999
BBBPIPO	6	3	ABCO	10	0	1	0	0	1	0	0	1	0	0	1	2000
BBBPIPO	6	3	CADE	1	0	1	0	0	20	0	88	6	30	0	0	2000
BBBPIPO	6	3	CADE	2	0	0	0	0	0	0	0	1	3	2	0	2006
BBBPIPO	6	3	CADE	10	0	0	0	0	0	0	0	0	0	0	3	2009
BBBPIPO	6	3	PILA	1	0	0	0	0	0	0	0	2	1	1	0	2006
BBBPIPO	6	3	PILA	10	0	0	0	0	0	0	0	0	0	1	0	0
BBBPIPO	6	3	PIPO	1	0	0	0	0	6	0	0	10	1	0	0	2003
BBBPIPO	6	3	PIPO	2	0	0	0	0	0	1	0	0	0	1	0	2004
BBBPIPO	6	3	PIPO	10	0	0	0	0	0	0	1	0	0	0	0	2005
BBBPIPO	6	3	PIXX	1	0	0	0	12	0	0	2	1	0	0	1	2002
BBBPIPO	6	3	PIXX	10	0	0	0	0	0	0	0	0	0	0	2	2009
BBBPIPO	6	3	QUKE	1	0	0	3	9	0	6	5	0	0	1	0	2001
BBBPIPO	6	3	QUKE	10	17	15	9	6	11	20	11	7	6	2	7	1999
BBBPIPO	6	3	QUKE	25	0	0	0	0	0	0	0	4	3	0	NA	2006
BBBPIPO	6	4	ABCO	1	0	0	0	3	0	0	0	1	3	0	4	2002
BBBPIPO	6	4	ABCO	2	2	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	4	CADE	1	0	1	0	0	30	0	132	2	15	0	0	2000
BBBPIPO	6	4	PILA	1	0	0	0	0	0	0	0	2	0	0	0	2006
BBBPIPO	6	4	PIPO	1	0	0	0	0	18	0	0	8	1	0	0	2003
BBBPIPO	6	4	PIXX	1	0	0	0	1	0	0	0	3	0	0	0	2002
BBBPIPO	6	4	QUCH	10	0	0	0	0	0	0	0	1	0	0	0	2006
BBBPIPO	6	4	QUKE	1	0	0	4	0	0	0	0	0	0	0	0	2001
BBBPIPO	6	4	QUKE	2	1	0	0	0	0	1	5	0	0	0	0	1999
BBBPIPO	6	4	QUKE	10	18	9	6	7	5	10	0	12	3	3	4	1999
BBBPIPO	6	5	ABCO	1	0	0	0	22	0	0	1	13	0	0	0	2002
BBBPIPO	6	5	ABCO	2	5	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	5	CADE	1	0	0	0	0	25	0	162	0	11	0	0	2003
BBBPIPO	6	5	PILA	1	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	5	PIPO	1	0	0	0	0	9	0	0	6	1	0	0	2003
BBBPIPO	6	5	PIXX	1	0	0	0	5	0	0	0	1	0	0	0	2002
BBBPIPO	6	5	QUKE	1	0	0	2	0	0	2	0	0	0	0	0	2001
BBBPIPO	6	5	QUKE	2	0	0	0	0	0	0	1	0	0	0	0	2005
BBBPIPO	6	5	QUKE	10	25	11	5	3	0	1	0	4	24	4	19	1999
BBBPIPO	6	6	ABCO	1	0	0	0	14	0	0	0	0	0	0	1	2002
BBBPIPO	6	6	ABCO	2	7	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	6	ABCO	10	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	6	CADE	1	0	2	0	0	17	0	34	0	207	0	0	2000
BBBPIPO	6	6	CADE	2	5	3	1	1	0	0	0	0	0	0	0	1999
BBBPIPO	6	6	CADE	10	17	14	19	8	7	0	0	0	0	0	0	1999
BBBPIPO	6	6	PIPO	1	0	0	0	0	0	0	0	2	0	0	0	2006
BBBPIPO	6	6	PIPO	10	0	1	0	0	0	0	0	0	0	0	0	2000
BBBPIPO	6	6	QUKE	1	0	0	2	0	0	0	0	0	0	0	0	2001
BBBPIPO	6	6	QUKE	2	1	0	1	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	6	QUKE	10	13	12	7	3	4	8	1	9	3	1	2	1999
BBBPIPO	6	7	ABCO	1	0	0	0	12	0	0	0	2	6	0	5	2002
BBBPIPO	6	7	ABCO	2	8	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	7	ABCO	10	0	0	2	1	0	0	0	0	0	0	0	2001
BBBPIPO	6	7	CADE	1	0	1	0	0	13	0	54	0	130	0	0	2000
BBBPIPO	6	7	CADE	2	0	1	0	0	0	0	0	0	1	0	0	2000
BBBPIPO	6	7	CADE	10	2	0	0	0	1	0	0	0	1	0	0	1999
BBBPIPO	6	7	PILA	1	0	0	0	0	0	0	0	0	0	1	0	0
BBBPIPO	6	7	QUKE	1	0	0	2	2	0	0	0	0	0	0	0	2001
BBBPIPO	6	7	QUKE	2	0	0	6	0	0	1	1	1	0	0	0	2001
BBBPIPO	6	7	QUKE	10	17	10	14	9	7	6	0	2	2	0	3	1999
BBBPIPO	6	8	ABCO	1	0	0	0	33	0	0	0	3	0	0	4	2002
BBBPIPO	6	8	ABCO	2	7	1	0	0	1	0	0	2	1	0	0	1999
BBBPIPO	6	8	ABCO	10	0	0	2	1	1	1	0	0	0	0	0	2001
BBBPIPO	6	8	CADE	1	0	2	0	0	17	0	151	16	375	0	3	2000
BBBPIPO	6	8	CADE	2	2	0	0	3	0	0	0	0	9	7	0	1999
BBBPIPO	6	8	CADE	10	5	2	3	0	2	1	1	0	0	0	0	1999
BBBPIPO	6	8	PILA	1	0	0	0	0	0	0	0	1	0	2	0	2006
BBBPIPO	6	8	PIPO	1	0	0	0	0	3	0	0	2	0	0	0	2003
BBBPIPO	6	8	PIXX	1	0	0	0	5	0	0	0	5	0	0	0	2002
BBBPIPO	6	8	QUKE	1	0	0	2	2	0	0	1	0	0	0	1	2001
BBBPIPO	6	8	QUKE	2	0	0	0	0	0	1	0	0	0	0	0	2004
BBBPIPO	6	8	QUKE	10	16	10	5	5	0	8	5	3	3	1	7	1999
BBBPIPO	6	9	ABCO	1	0	0	0	15	0	0	0	1	0	0	5	2002
BBBPIPO	6	9	ABCO	2	4	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	9	ABCO	10	0	2	2	1	0	0	0	0	0	0	0	2000
BBBPIPO	6	9	CADE	1	0	2	0	0	11	0	95	4	102	0	0	2000
BBBPIPO	6	9	CADE	2	0	0	0	0	0	0	0	0	1	0	0	2007
BBBPIPO	6	9	CADE	10	3	0	1	0	0	0	0	0	1	0	0	1999
BBBPIPO	6	9	PILA	2	2	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	9	PILA	10	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	9	PIPO	1	0	0	0	0	1	0	0	0	0	0	0	2003
BBBPIPO	6	9	PIXX	1	0	0	0	1	0	0	0	6	0	0	0	2002
BBBPIPO	6	9	QUKE	1	0	0	8	0	0	0	0	0	0	0	0	2001
BBBPIPO	6	9	QUKE	2	0	0	5	0	0	0	0	2	0	0	0	2001
BBBPIPO	6	9	QUKE	10	24	22	16	15	6	3	2	4	2	0	9	1999
BBBPIPO	6	9	QUKE	25	0	0	0	0	0	0	0	0	5	8	NA	2007
BBBPIPO	6	10	ABCO	1	0	0	0	12	0	0	1	0	0	0	2	2002
BBBPIPO	6	10	ABCO	2	41	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	10	ABCO	10	0	4	11	6	2	3	1	1	2	0	0	2000
BBBPIPO	6	10	CADE	1	0	4	0	1	16	0	144	9	92	0	1	2000
BBBPIPO	6	10	CADE	2	0	0	2	1	1	2	1	2	2	2	0	2001
BBBPIPO	6	10	CADE	10	0	0	0	0	0	0	0	0	2	0	0	2007
BBBPIPO	6	10	PILA	1	0	0	0	0	0	0	0	2	1	0	0	2006
BBBPIPO	6	10	PILA	2	1	0	0	0	0	0	0	0	3	2	0	1999
BBBPIPO	6	10	PILA	10	0	0	0	0	0	3	3	0	0	0	0	2004
BBBPIPO	6	10	PIPO	1	0	0	0	0	6	0	0	3	0	0	0	2003
BBBPIPO	6	10	PIPO	2	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	10	PIPO	10	0	0	0	0	0	0	0	2	0	0	0	2006
BBBPIPO	6	10	PIXX	1	0	0	0	8	0	0	0	6	0	0	0	2002
BBBPIPO	6	10	PIXX	2	0	0	0	0	1	0	0	0	0	0	0	2003
BBBPIPO	6	10	PIXX	10	0	0	0	0	0	0	0	0	0	0	3	2009
BBBPIPO	6	10	QUKE	1	0	0	4	3	0	0	1	0	0	0	0	2001
BBBPIPO	6	10	QUKE	2	0	0	0	0	0	0	0	1	0	0	0	2006
BBBPIPO	6	10	QUKE	10	51	26	15	9	4	4	1	3	17	9	30	1999
BBBPIPO	6	10	QUKE	25	0	0	0	22	25	13	8	20	16	3	NA	2002
BBBPIPO	6	11	ABCO	1	0	3	0	32	0	0	0	4	1	0	7	2000
BBBPIPO	6	11	ABCO	2	70	9	1	0	1	0	0	0	0	0	0	1999
BBBPIPO	6	11	ABCO	10	0	10	17	20	11	8	3	3	2	1	1	2000
BBBPIPO	6	11	CADE	1	0	6	0	1	13	0	131	6	171	1	0	2000
BBBPIPO	6	11	CADE	2	8	5	3	2	0	0	0	1	3	3	0	1999
BBBPIPO	6	11	CADE	10	1	0	2	1	1	1	1	0	0	0	0	1999
BBBPIPO	6	11	PIPO	1	0	0	0	0	1	0	0	1	0	0	0	2003
BBBPIPO	6	11	PIXX	1	0	0	0	7	0	0	0	0	0	0	0	2002
BBBPIPO	6	11	QUKE	2	0	0	0	0	0	0	1	0	0	0	0	2005
BBBPIPO	6	11	QUKE	10	7	13	10	10	6	6	2	4	5	4	3	1999
BBBPIPO	6	12	ABCO	1	0	11	0	37	1	0	0	11	0	0	6	2000
BBBPIPO	6	12	ABCO	2	176	125	0	0	2	2	3	4	1	0	0	1999
BBBPIPO	6	12	ABCO	10	0	6	109	91	57	39	13	12	7	14	3	2000
BBBPIPO	6	12	ABCO	25	0	0	0	0	0	0	13	23	25	17	NA	2005
BBBPIPO	6	12	CADE	1	0	35	0	1	4	0	77	11	84	0	3	2000
BBBPIPO	6	12	CADE	2	29	25	13	18	0	1	2	3	3	1	0	1999
BBBPIPO	6	12	CADE	10	3	10	27	11	14	12	3	5	7	10	3	1999
BBBPIPO	6	12	PILA	10	0	1	0	0	0	3	0	0	0	0	0	2000
BBBPIPO	6	12	PIPO	1	0	0	0	0	1	0	0	8	0	1	0	2003
BBBPIPO	6	12	PIPO	2	3	0	0	0	2	0	0	0	0	0	0	1999
BBBPIPO	6	12	PIPO	10	1	4	4	3	0	1	0	0	1	0	0	1999
BBBPIPO	6	12	PIXX	1	0	0	0	2	1	0	0	0	0	0	0	2002
BBBPIPO	6	12	PIXX	2	0	0	0	0	2	0	0	0	0	0	0	2003
BBBPIPO	6	12	PIXX	10	0	0	0	0	1	0	0	0	0	0	0	2003
BBBPIPO	6	12	QUKE	1	0	0	0	1	0	0	0	1	4	0	0	2002
BBBPIPO	6	12	QUKE	10	9	19	15	12	8	7	5	5	6	3	9	1999
BBBPIPO	6	12	QUKE	25	0	0	0	0	0	0	0	0	0	2	NA	2008
BBBPIPO	6	13	ABCO	1	0	25	0	44	0	0	2	2	0	0	17	2000
BBBPIPO	6	13	ABCO	2	224	96	2	5	0	1	2	1	2	0	1	1999
BBBPIPO	6	13	ABCO	10	6	6	117	95	53	62	26	17	10	17	7	1999
BBBPIPO	6	13	ABCO	25	0	0	0	0	0	0	5	22	23	15	NA	2005
BBBPIPO	6	13	CADE	1	0	56	1	0	15	0	171	23	125	0	8	2000
BBBPIPO	6	13	CADE	2	39	29	19	16	3	1	0	5	18	8	2	1999
BBBPIPO	6	13	CADE	10	17	12	23	21	15	14	10	5	7	14	2	1999
BBBPIPO	6	13	CADE	25	0	0	0	0	0	0	0	0	1	0	NA	2007
BBBPIPO	6	13	CADE	50	0	0	0	9	0	0	1	1	0	0	NA	2002
BBBPIPO	6	13	PILA	1	0	0	0	0	0	1	0	1	0	3	0	2004
BBBPIPO	6	13	PILA	10	3	1	1	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	13	PIPO	1	0	0	0	0	2	0	0	0	0	0	0	2003
BBBPIPO	6	13	PIPO	2	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	13	PIPO	10	2	1	0	1	1	2	0	0	0	0	0	1999
BBBPIPO	6	13	PIXX	1	0	0	0	7	0	0	0	0	0	0	0	2002
BBBPIPO	6	13	PIXX	2	0	0	0	0	1	0	0	0	0	0	0	2003
BBBPIPO	6	13	QUKE	1	0	0	0	1	1	0	4	0	0	0	0	2002
BBBPIPO	6	13	QUKE	2	6	0	0	0	0	0	1	0	0	0	0	1999
BBBPIPO	6	13	QUKE	10	32	31	32	14	10	14	4	12	7	9	19	1999
BBBPIPO	6	13	QUKE	25	0	0	0	29	32	18	9	14	16	14	NA	2002
BBBPIPO	6	13	QUKE	50	0	0	0	0	0	0	3	0	0	0	NA	2005
BBBPIPO	6	14	ABCO	1	0	2	0	16	2	0	0	1	1	0	1	2000
BBBPIPO	6	14	ABCO	2	53	8	1	0	1	0	0	0	0	0	0	1999
BBBPIPO	6	14	ABCO	10	9	0	7	10	4	3	1	2	0	2	0	1999
BBBPIPO	6	14	CADE	1	0	33	0	0	25	0	269	46	188	1	5	2000
BBBPIPO	6	14	CADE	2	23	15	8	1	1	0	2	6	33	13	0	1999
BBBPIPO	6	14	CADE	10	0	0	9	8	9	4	2	7	2	2	0	2001
BBBPIPO	6	14	PILA	1	0	0	0	0	0	0	0	4	2	2	0	2006
BBBPIPO	6	14	PILA	2	2	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	14	PILA	10	0	1	1	0	0	0	0	0	0	2	0	2000
BBBPIPO	6	14	PIPO	1	0	0	0	0	3	0	0	7	2	0	0	2003
BBBPIPO	6	14	PIPO	10	0	0	0	1	0	1	0	0	0	0	0	2002
BBBPIPO	6	14	PIXX	1	0	0	0	1	0	0	0	0	0	0	0	2002
BBBPIPO	6	14	QUKE	1	0	0	3	1	0	0	2	0	0	0	0	2001
BBBPIPO	6	14	QUKE	2	0	0	1	0	0	0	2	1	0	0	0	2001
BBBPIPO	6	14	QUKE	10	67	40	24	18	12	8	4	14	9	5	5	1999
BBBPIPO	6	14	QUKE	25	0	0	29	23	37	13	10	8	18	15	NA	2001
BBBPIPO	6	15	ABCO	1	0	2	0	6	1	0	0	2	2	0	3	2000
BBBPIPO	6	15	ABCO	2	113	12	3	0	2	3	4	3	0	0	1	1999
BBBPIPO	6	15	ABCO	10	6	0	13	20	11	7	3	3	4	5	3	1999
BBBPIPO	6	15	CADE	1	1	11	0	0	13	0	218	23	82	0	3	1999
BBBPIPO	6	15	CADE	2	2	2	3	3	0	0	4	0	4	4	0	1999
BBBPIPO	6	15	CADE	10	0	0	1	2	5	2	1	5	4	7	0	2001
BBBPIPO	6	15	PILA	1	1	0	0	0	0	0	0	3	0	0	0	1999
BBBPIPO	6	15	PILA	10	0	0	1	1	0	0	0	0	0	0	0	2001
BBBPIPO	6	15	PIPO	1	0	0	0	0	3	0	0	1	0	0	0	2003
BBBPIPO	6	15	PIXX	10	0	0	0	0	0	0	0	0	0	0	1	2009
BBBPIPO	6	15	QUKE	1	0	0	4	2	1	0	1	0	0	0	0	2001
BBBPIPO	6	15	QUKE	2	2	0	0	0	0	1	0	0	0	0	0	1999
BBBPIPO	6	15	QUKE	10	42	19	21	9	3	4	2	19	2	8	17	1999
BBBPIPO	6	15	QUKE	25	0	0	0	31	36	13	15	15	27	10	NA	2002
BBBPIPO	6	16	ABCO	1	0	0	0	8	1	4	2	31	1	0	5	2002
BBBPIPO	6	16	ABCO	2	453	0	5	0	0	2	1	6	5	0	2	1999
BBBPIPO	6	16	ABCO	10	0	190	146	103	81	53	49	32	29	24	16	2000
BBBPIPO	6	16	CADE	1	0	6	0	0	21	1	49	12	13	0	0	2000
BBBPIPO	6	16	CADE	2	14	0	5	2	0	1	0	5	11	4	0	1999
BBBPIPO	6	16	CADE	10	4	15	13	13	7	7	2	6	3	4	6	1999
BBBPIPO	6	16	PILA	1	0	0	0	0	0	0	0	1	0	1	0	2006
BBBPIPO	6	16	PILA	2	3	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	16	PILA	10	0	0	0	0	0	1	0	0	0	0	0	2004
BBBPIPO	6	16	PIPO	1	0	0	0	0	9	0	0	0	0	0	0	2003
BBBPIPO	6	16	PIXX	1	0	0	0	2	0	0	0	1	0	0	0	2002
BBBPIPO	6	16	QUCH	75	0	0	0	3	0	0	0	0	0	0	NA	2002
BBBPIPO	6	16	QUKE	1	0	0	2	2	0	0	0	0	0	0	0	2001
BBBPIPO	6	16	QUKE	2	0	0	0	1	0	0	0	0	0	0	0	2002
BBBPIPO	6	16	QUKE	10	4	7	3	4	6	4	4	4	0	6	2	1999
BBBPIPO	6	17	ABCO	1	0	0	0	16	13	0	1	13	2	0	3	2002
BBBPIPO	6	17	ABCO	2	678	0	3	4	3	0	0	9	2	0	2	1999
BBBPIPO	6	17	ABCO	10	1	204	267	164	125	75	66	40	41	28	16	1999
BBBPIPO	6	17	CADE	1	0	20	0	0	13	0	314	21	21	0	0	2000
BBBPIPO	6	17	CADE	2	16	4	8	6	0	0	0	1	35	9	1	1999
BBBPIPO	6	17	CADE	10	10	18	15	9	9	5	2	3	1	7	3	1999
BBBPIPO	6	17	PILA	1	0	0	0	0	0	0	0	3	0	0	0	2006
BBBPIPO	6	17	PILA	2	13	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	17	PILA	10	0	0	0	0	0	0	0	1	0	1	0	2006
BBBPIPO	6	17	PIPO	1	0	0	0	0	15	0	0	1	0	0	0	2003
BBBPIPO	6	17	PIPO	2	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	17	PIXX	1	0	0	0	2	0	0	0	0	0	0	0	2002
BBBPIPO	6	17	PIXX	10	0	0	0	0	0	0	0	0	0	0	1	2009
BBBPIPO	6	17	QUCH	10	0	0	0	0	0	1	0	0	0	0	0	2004
BBBPIPO	6	17	QUKE	1	0	0	5	2	0	0	3	0	0	0	0	2001
BBBPIPO	6	17	QUKE	2	0	0	0	0	0	0	0	1	0	0	0	2006
BBBPIPO	6	17	QUKE	10	9	8	13	4	4	5	0	0	2	5	9	1999
BBBPIPO	6	18	ABCO	1	0	1	0	9	5	0	2	13	0	0	5	2000
BBBPIPO	6	18	ABCO	2	367	1	2	3	0	3	0	7	3	0	0	1999
BBBPIPO	6	18	ABCO	10	0	179	210	130	101	61	67	57	35	23	18	2000
BBBPIPO	6	18	ABCO	25	0	0	0	0	0	0	0	14	11	17	NA	2006
BBBPIPO	6	18	CADE	1	0	43	1	0	7	0	144	14	21	0	0	2000
BBBPIPO	6	18	CADE	2	7	2	12	1	0	0	0	3	9	9	0	1999
BBBPIPO	6	18	CADE	10	1	21	5	5	10	11	2	0	0	2	8	1999
BBBPIPO	6	18	CADE	25	0	0	0	8	0	0	0	0	0	0	NA	2002
BBBPIPO	6	18	PILA	1	0	2	0	0	0	0	0	0	0	1	0	2000
BBBPIPO	6	18	PILA	2	0	0	2	0	0	0	0	0	0	0	0	2001
BBBPIPO	6	18	PIPO	1	0	0	0	0	9	0	0	2	1	0	0	2003
BBBPIPO	6	18	PIXX	1	0	0	0	1	0	0	0	0	0	0	0	2002
BBBPIPO	6	18	QUKE	1	0	0	7	4	0	0	0	0	0	0	0	2001
BBBPIPO	6	18	QUKE	2	0	0	0	0	0	2	0	3	0	0	0	2004
BBBPIPO	6	18	QUKE	10	20	19	8	12	13	7	9	7	10	6	29	1999
BBBPIPO	6	18	QUKE	25	0	0	0	0	22	8	3	8	4	1	NA	2003
BBBPIPO	6	19	ABCO	1	0	6	0	1	2	0	3	3	0	0	1	2000
BBBPIPO	6	19	ABCO	2	179	40	1	2	0	1	0	2	0	0	0	1999
BBBPIPO	6	19	ABCO	10	0	3	25	22	15	8	2	0	2	3	4	2000
BBBPIPO	6	19	CADE	1	0	25	0	0	17	0	309	8	16	0	0	2000
BBBPIPO	6	19	CADE	2	5	5	2	2	0	1	0	0	1	2	0	1999
BBBPIPO	6	19	CADE	10	0	0	2	0	2	2	1	0	0	0	3	2001
BBBPIPO	6	19	PILA	1	0	0	0	0	0	0	0	2	0	2	0	2006
BBBPIPO	6	19	PILA	10	1	1	1	1	1	2	0	0	0	0	0	1999
BBBPIPO	6	19	PIPO	1	0	0	0	0	14	0	0	6	0	0	0	2003
BBBPIPO	6	19	QUKE	1	0	0	2	3	0	0	1	0	0	0	0	2001
BBBPIPO	6	19	QUKE	2	0	0	1	0	0	0	0	0	0	0	0	2001
BBBPIPO	6	19	QUKE	10	20	20	14	7	7	14	1	4	2	1	11	1999
BBBPIPO	6	20	ABCO	1	0	0	0	1	3	0	0	2	1	0	4	2002
BBBPIPO	6	20	ABCO	2	129	7	0	0	0	0	3	2	0	0	0	1999
BBBPIPO	6	20	ABCO	10	0	28	31	18	14	7	3	2	2	1	4	2000
BBBPIPO	6	20	CADE	1	0	7	0	0	10	0	203	2	25	0	0	2000
BBBPIPO	6	20	CADE	2	7	5	0	2	0	0	0	3	0	0	0	1999
BBBPIPO	6	20	CADE	10	0	0	2	1	3	4	2	0	0	0	2	2001
BBBPIPO	6	20	PILA	1	0	0	0	0	1	0	0	2	0	1	0	2003
BBBPIPO	6	20	PILA	10	4	2	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	20	PIPO	1	0	0	0	0	12	0	1	11	0	0	0	2003
BBBPIPO	6	20	PIXX	1	0	0	0	3	0	0	0	0	0	0	0	2002
BBBPIPO	6	20	QUKE	1	0	0	0	2	0	0	0	0	1	0	0	2002
BBBPIPO	6	20	QUKE	2	0	0	0	0	0	0	4	0	0	0	0	2005
BBBPIPO	6	20	QUKE	10	9	8	5	3	9	7	1	3	2	1	17	1999
BBBPIPO	6	21	ABCO	1	0	1	0	5	1	0	4	0	0	0	0	2000
BBBPIPO	6	21	ABCO	2	162	6	2	1	0	0	0	4	1	0	0	1999
BBBPIPO	6	21	ABCO	10	1	117	41	63	51	35	24	6	5	10	12	1999
BBBPIPO	6	21	CADE	1	0	15	1	4	22	0	397	7	40	0	0	2000
BBBPIPO	6	21	CADE	2	43	9	3	13	2	0	0	4	3	2	0	1999
BBBPIPO	6	21	CADE	10	3	25	15	14	20	23	11	3	12	5	6	1999
BBBPIPO	6	21	PILA	1	2	0	0	0	0	0	0	3	0	0	0	1999
BBBPIPO	6	21	PILA	10	9	2	1	0	1	1	1	1	0	1	0	1999
BBBPIPO	6	21	PIPO	1	0	0	0	0	9	0	0	2	1	0	0	2003
BBBPIPO	6	21	PIPO	10	0	0	0	0	0	0	0	1	0	0	0	2006
BBBPIPO	6	21	PIXX	1	0	0	0	1	0	0	0	0	0	0	0	2002
BBBPIPO	6	21	PIXX	10	0	0	0	0	0	0	0	0	0	0	2	2009
BBBPIPO	6	21	QUCH	2	0	0	0	0	1	0	0	0	0	0	0	2003
BBBPIPO	6	21	QUCH	10	0	0	0	1	1	0	0	0	0	0	1	2002
BBBPIPO	6	21	QUKE	1	0	0	1	1	0	1	0	0	2	0	0	2001
BBBPIPO	6	21	QUKE	10	7	12	6	7	2	1	4	4	3	3	20	1999
BBBPIPO	6	22	ABCO	1	0	0	0	6	2	0	6	10	1	0	2	2002
BBBPIPO	6	22	ABCO	2	194	6	2	7	0	0	0	6	3	0	1	1999
BBBPIPO	6	22	ABCO	10	0	72	75	49	18	17	9	5	3	2	2	2000
BBBPIPO	6	22	CADE	1	0	34	1	1	7	0	848	26	107	0	0	2000
BBBPIPO	6	22	CADE	2	76	3	16	19	0	0	0	7	3	5	0	1999
BBBPIPO	6	22	CADE	10	68	37	53	15	17	13	6	1	0	1	3	1999
BBBPIPO	6	22	PILA	1	0	0	0	0	0	0	0	1	0	0	0	2006
BBBPIPO	6	22	PILA	10	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	22	PIPO	1	0	0	0	0	5	0	0	2	0	0	0	2003
BBBPIPO	6	22	PIPO	2	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	22	PIXX	1	0	0	0	3	0	0	0	1	0	0	0	2002
BBBPIPO	6	22	QUCH	10	0	0	0	0	0	1	0	0	0	0	0	2004
BBBPIPO	6	22	QUCH	50	0	0	0	2	0	0	0	0	0	0	NA	2002
BBBPIPO	6	22	QUKE	1	0	0	2	1	0	0	0	1	1	0	0	2001
